doc_id,filename,issues,severity
172,e81cd54a_DART_P0_삼성화재해상보험_20260313001226.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
928,d5b7d9ae_DART_P2_노무라인터내셔널펀딩피티이_20260309001219.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
936,817448f0_DART_P2_디앤디플랫폼리츠_20260213002853.zip.pdf,"CHINESE_FOUND: insight_vectors(12자), risk_notes[0](5자), risk_notes[1](7자) [총 24자] | SHORT_SUMMARY(5자)",CRITICAL
968,69b0259f_DART_P3_KG스틸_20260313001182.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
969,72062d9c_DART_P3_KG스틸_20260313001198.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
1003,d91ea750_DART_P3_비비안_20260313001188.zip.pdf,"CHINESE_FOUND: insight_vectors(4자), risk_notes[0](5자), risk_notes[1](19자) [총 28자] | SHORT_SUMMARY(5자)",CRITICAL
1028,f54245a3_DART_P3_엔에이치스팩29호_20260312000902.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
1029,8d837d98_DART_P3_엘아이지_20260313001034.zip.pdf,"CHINESE_FOUND: event_type(6자), evidence(3자) [총 9자] | SHORT_SUMMARY(4자)",CRITICAL
1039,bbd75d80_DART_P3_인카금융서비스_20260313000341.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
1050,f302e27d_DART_P3_캔버스엔_20260313001179.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
1057,a587a4b7_DART_P3_판타지오_20260312001069.zip.pdf,"CHINESE_FOUND: event_type(6자), evidence(32자) [총 38자] | SHORT_SUMMARY(9자)",CRITICAL
1059,a517162e_DART_P3_퓨쳐켐_20260313000877.zip.pdf,SHORT_SUMMARY(11자) | WEAK_CATEGORY(기타),MEDIUM
1065,ff876dbe_DART_P3_한주에이알티_20260313000738.zip.pdf,"CHINESE_FOUND: event_type(7자), evidence(94자) [총 101자] | SHORT_SUMMARY(19자)",CRITICAL
29,933b3265_DART_P0_LG에너지솔루션_20260312000217.zip.pdf,CHINESE_FOUND: insight_vectors(35자) [총 35자],CRITICAL
81,b72f3cfa_DART_P0_네이블_20260310002871.zip.pdf,CHINESE_FOUND: insight_vectors(59자) [총 59자],CRITICAL
105,221945d3_DART_P0_디지아이_20260310002586.zip.pdf,CHINESE_FOUND: evidence(68자) [총 68자],CRITICAL
135,38257deb_DART_P0_미래에셋맵스리츠_20260213000342.zip.pdf,SHORT_SUMMARY(8자),MEDIUM
142,9a3ea494_DART_P0_미래에셋비전스팩9호_20260306001042.zip.pdf,"CHINESE_FOUND: insight_vectors(13자), risk_notes[0](13자) [총 26자]",CRITICAL
147,cb214477_DART_P0_바이오다인_20260313000802.zip.pdf,CHINESE_FOUND: evidence(43자) [총 43자],CRITICAL
149,b5b7aa36_DART_P0_부스타_20260313000821.zip.pdf,CHINESE_FOUND: evidence(42자) [총 42자],CRITICAL
211,6753c1ee_DART_P0_신한제15호스팩_20260311004268.zip.pdf,CHINESE_FOUND: evidence(2자) [총 2자],CRITICAL
218,e644e933_DART_P0_아이크래프트_20260313001259.zip.pdf,"CHINESE_FOUND: summary(4자), summary(4자) [총 8자]",CRITICAL
219,07f2a8ae_DART_P0_아이텍_20260312001086.zip.pdf,CHINESE_FOUND: risk_notes[1](1자) [총 1자],CRITICAL
280,4c6496dc_DART_P0_이리츠코크렙_20260311004577.zip.pdf,CHINESE_FOUND: evidence(44자) [총 44자],CRITICAL
288,2866a21f_DART_P0_일진하이솔루스_20260311004292.zip.pdf,"CHINESE_FOUND: summary(152자), summary(152자), evidence(71자) [총 375자]",CRITICAL
291,437c4b20_DART_P0_잉크테크_20260313000615.zip.pdf,"CHINESE_FOUND: summary(32자), summary(32자) [총 64자]",CRITICAL
306,7e8948d5_DART_P0_진양홀딩스_20260305001671.zip.pdf,"CHINESE_FOUND: insight_vectors(1자), risk_notes[1](1자) [총 2자]",CRITICAL
386,da5a70fb_DART_P0_한솔로지스틱스_20260313000860.zip.pdf,"CHINESE_FOUND: summary(57자), summary(57자), evidence(3자), key_points[4](8자), key_points[6](11자) [총 136자]",CRITICAL
451,b050d513_DART_P1_꽃피는아침마을_20260309001148.zip.pdf,"CHINESE_FOUND: summary(114자), summary(114자), insight_vectors(9자) [총 237자]",CRITICAL
463,a56f2db7_DART_P1_뉴템즈_20260227008983.zip.pdf,"CHINESE_FOUND: summary(4자), summary(4자), evidence(11자) [총 19자]",CRITICAL
468,ce33202a_DART_P1_다산제약_20260306000382.zip.pdf,SHORT_SUMMARY(44자),MEDIUM
472,90cee7a0_DART_P1_당진행복솔라_20260305001247.zip.pdf,"CHINESE_FOUND: summary(4자), summary(4자) [총 8자]",CRITICAL
514,09392c0d_DART_P1_디피씨_20260313000111.zip.pdf,CHINESE_FOUND: evidence(61자) [총 61자],CRITICAL
524,a5fd2f9e_DART_P1_레보메드_20260220000467.zip.pdf,SHORT_SUMMARY(45자),MEDIUM
531,9b3b94d4_DART_P1_림스케이블_20260305000491.zip.pdf,"CHINESE_FOUND: summary(15자), summary(15자), insight_vectors(20자), evidence(1자), key_points[0](1자), key_points[3](8자) [총 60자]",CRITICAL
554,b484b5c5_DART_P1_부산일보_20260224003437.zip.pdf,ADDRESS_IN_COMPANY(부산),HIGH
555,0e7f2ce8_DART_P1_부산항보안공사_20260224002720.zip.pdf,ADDRESS_IN_COMPANY(부산),HIGH
589,0edf191e_DART_P1_서울장수_20260309001272.zip.pdf,ADDRESS_IN_COMPANY(서울),HIGH
626,4ab8a406_DART_P1_스푼랩스_20260310003050.zip.pdf,SHORT_SUMMARY(37자),MEDIUM
635,1ba38c94_DART_P1_쓰리쉐이프코리아_20260306000104.zip.pdf,"CHINESE_FOUND: summary(50자), summary(50자) [총 100자]",CRITICAL
669,3fed73b4_DART_P1_어니컴_20260304000544.zip.pdf,"CHINESE_FOUND: summary(38자), summary(38자) [총 76자]",CRITICAL
670,f2d94477_DART_P1_어드밴텍케이알_20260303002145.zip.pdf,"CHINESE_FOUND: evidence(25자), key_points[2](23자) [총 48자]",CRITICAL
672,76897728_DART_P1_에스디상사_20260309001581.zip.pdf,"CHINESE_FOUND: summary(13자), summary(13자) [총 26자]",CRITICAL
682,6d8618df_DART_P1_에스티엠_20260310002194.zip.pdf,CHINESE_FOUND: insight_vectors(2자) [총 2자],CRITICAL
766,27efddba_DART_P1_전진산업_20260310002411.zip.pdf,SHORT_SUMMARY(9자),MEDIUM
820,0ff31ed2_DART_P1_케이지엑스_20260306000156.zip.pdf,CHINESE_FOUND: key_points[2](5자) [총 5자],CRITICAL
823,fd0626e3_DART_P1_코람코가치투자부동산제3호위탁관리모부동산투자회사_20260306000172.zip.pdf,"CHINESE_FOUND: summary(63자), summary(63자) [총 126자]",CRITICAL
830,cdb16b6e_DART_P1_코모토_20260313000237.zip.pdf,"CHINESE_FOUND: summary(18자), summary(18자), evidence(17자) [총 53자]",CRITICAL
850,ed7db587_DART_P1_티마트_20260304000734.zip.pdf,WEAK_CATEGORY(기타),LOW
862,8f6098cf_DART_P1_폴리원테크놀로지_20260306000264.zip.pdf,SHORT_SUMMARY(8자),MEDIUM
868,bc05ff0c_DART_P1_퓨쳐시스템_20260311003384.zip.pdf,"CHINESE_FOUND: summary(211자), summary(211자) [총 422자]",CRITICAL
901,5f58f615_DART_P1_한울건설_20260312000639.zip.pdf,"CHINESE_FOUND: summary(78자), summary(78자), insight_vectors(6자), risk_notes[0](18자), risk_notes[1](5자) [총 185자]",CRITICAL
903,9176b1d5_DART_P1_한타스_20260313000345.zip.pdf,"CHINESE_FOUND: summary(4자), summary(4자), evidence(20자) [총 28자]",CRITICAL
906,5d6af047_DART_P1_해평건설_20260310002105.zip.pdf,"CHINESE_FOUND: summary(4자), summary(4자) [총 8자]",CRITICAL
909,eb4796c9_DART_P1_현대에코텍_20260220000428.zip.pdf,CHINESE_FOUND: insight_vectors(4자) [총 4자],CRITICAL
913,ad1bbe23_DART_P1_호재메탈_20260309001454.zip.pdf,"CHINESE_FOUND: insight_vectors(3자), risk_notes[2](3자) [총 6자]",CRITICAL
973,cf775eb0_DART_P3_THE CUBE_20260313001357.zip.pdf,SHORT_SUMMARY(31자),MEDIUM
975,234dc55b_DART_P3_THE EM_20260313001309.zip.pdf,SHORT_SUMMARY(29자),MEDIUM
984,2bce27d4_DART_P3_대성산업_20260312000949.zip.pdf,SHORT_SUMMARY(31자),MEDIUM
989,88fe01ca_DART_P3_디모아_20260312001076.zip.pdf,SHORT_SUMMARY(3자),MEDIUM
994,b9c1e9ca_DART_P3_모아라이프플러스_20260312001312.zip.pdf,CHINESE_FOUND: evidence(28자) [총 28자],CRITICAL
